edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
41,30,49,12.0,-29.485731995652916,12.0,-24.86692567495048,4.618806320702436,1.2422914074167892,1.2236666503762823,22.36666503762823,False,14.825673306126651,-32.71911716375121,20.199282058522908,15.171904214980417,-28.79585148372169,16.145660255477214
42,31,32,16.0,-31.795133072411417,16.0,-36.41393522592843,4.618802153517009,2.093490640695372,1.2438298219823734,24.382982198237336,True,17.697443623238776,-34.016242538011106,25.358395775692514,16.357497709197204,-36.74628139872738,30.232460006107754
43,31,34,16.0,-31.795133072411417,20.0,-29.485731995652916,4.618802153517005,1.0360634739553765,1.2020287404517207,20.20287404517207,False,17.697443623238776,-34.016242538011106,25.358395775692514,22.109667712341132,-31.288737550219384,27.337525494462295
44,32,33,16.0,-36.41393522592843,12.0,-38.72333630268693,4.618802153517007,1.0283053814945897,1.2174755044291092,21.747550442910924,True,16.357497709197204,-36.74628139872738,30.232460006107754,11.835060148881842,-37.97320267013154,27.12384558973138
45,32,37,16.0,-36.41393522592843,20.0,-38.72333630268693,4.618802153517007,1.838009475216335,1.4544177691810052,45.441776918100516,True,16.357497709197204,-36.74628139872738,30.232460006107754,19.952915917658455,-38.96132685487754,35.45678808501469
46,34,35,20.0,-29.485731995652916,24.0,-31.795133072411417,4.618802153517005,3.338048396146458,1.2827820355726147,28.27820355726147,True,22.109667712341132,-31.288737550219384,27.337525494462295,23.848096821290692,-31.477977145770346,32.99850485249797
47,34,51,20.0,-29.485731995652916,20.0,-24.86692567495048,4.618806320702436,1.3907306972383375,1.2287766048459436,22.877660484594365,False,22.109667712341132,-31.288737550219384,27.337525494462295,23.147858234499605,-27.57321074619958,23.17482117116908
48,35,36,24.0,-31.795133072411417,24.0,-36.41393522592843,4.618802153517009,1.0191896322079106,1.140401453515988,14.04014535159881,True,23.848096821290692,-31.477977145770346,32.99850485249797,23.972530739505157,-36.27636307718965,35.167453627909204
49,35,54,24.0,-31.795133072411417,28.0,-29.48572782846749,4.618804237111129,1.0128065059023368,1.2714215656863173,27.142156568631727,True,23.848096821290692,-31.477977145770346,32.99850485249797,28.199876514918078,-29.621334268318698,36.47708619957223
50,36,37,24.0,-36.41393522592843,20.0,-38.72333630268693,4.618802153517007,1.0074762262718966,1.0484374138950987,4.84374138950987,True,23.972530739505157,-36.27636307718965,35.167453627909204,19.952915917658455,-38.96132685487754,35.45678808501469
51,38,39,-24.0,-22.55752459819198,-20.0,-24.86692567495048,4.618802153517005,1.1614336052280911,1.24405452225413,24.405452225412994,False,-26.87232680730265,-24.544181675496088,26.27659210646167,-23.128828204835028,-27.566786442816024,23.13540221622824
52,38,41,-24.0,-22.55752459819198,-28.0,-24.86692567495048,4.618802153517005,2.4653217991697978,1.3973041183026462,39.73041183026462,True,-26.87232680730265,-24.544181675496088,26.27659210646167,-28.45760291148709,-25.133798047274567,32.5048909582224
53,38,56,-24.0,-22.55752459819198,-24.0,-17.938725906884073,4.618798691307905,1.15354404595408,1.2894482441329136,28.944824413291357,False,-26.87232680730265,-24.544181675496088,26.27659210646167,-26.80642911546209,-20.345329861661686,22.053360451108247
54,39,42,-20.0,-24.86692567495048,-16.0,-22.55752459819198,4.618802153517005,1.3969070199005957,1.3385743409052753,33.857434090527526,False,-23.128828204835028,-27.566786442816024,23.13540221622824,-19.973900470828525,-26.32748682527572,17.964789635311526
55,40,41,-28.0,-29.48572782846749,-28.0,-24.86692567495048,4.618802153517009,1.7759879614403473,1.2984141230496262,29.841412304962624,True,-28.203194058632704,-29.622296739947327,36.47403183504598,-28.45760291148709,-25.133798047274567,32.5048909582224
